,corpus_id,sentences
249,11,if all the soul-and-body scars
250,11,were not too much to pay for birth.
251,12,i didn't make you know how glad i was
252,12,to have you come and camp here on our land.
253,12,i promised myself to get down some day
254,12,"and see the way you lived, but i don't know!"
255,12,with a houseful of hungry men to feed
256,12,i guess you'd find.... it seems to me
257,12,i can't express my feelings any more
258,12,than i can raise my voice or want to lift
259,12,"my hand oh, i can lift it when i have to."
260,12,did ever you feel so? i hope you never.
261,12,it's got so i don't even know for sure
262,12,"whether i am glad, sorry, or anything."
263,12,there's nothing but a voice-like left inside
264,12,"that seems to tell me how i ought to feel,"
265,12,and would feel if i wasn't all gone wrong.
266,12,you take the lake. i look and look at it.
267,12,"i see it's a fair, pretty sheet of water."
268,12,i stand and make myself repeat out loud
269,12,"the advantages it has, so long and narrow,"
270,12,like a deep piece of some old running river
271,12,cut short off at both ends. it lies five miles
272,12,straight away through the mountain notch
273,12,"from the sink window where i wash the plates,"
274,12,"and all our storms come up toward the house,"
275,12,drawing the slow waves whiter and whiter and whiter.
276,12,it took my mind off doughnuts and soda biscuit
277,12,to step outdoors and take the water dazzle
278,12,"a sunny morning, or take the rising wind"
279,12,"about my face and body and through my wrapper,"
280,12,"when a storm threatened from the dragon's den,"
281,12,and a cold chill shivered across the lake.
282,12,"i see it's a fair, pretty sheet of water,"
283,12,our willoughby! how did you hear of it?
284,12,"i expect, though, everyone's heard of it."
285,12,in a book about ferns? listen to that!
286,12,you let things more like feathers regulate
287,12,your going and coming. and you like it here?
288,12,i can see how you might. but i don't know!
289,12,"it would be different if more people came,"
290,12,"for then there would be business. as it is,"
291,12,"the cottages len built, sometimes we rent them,"
292,12,sometimes we don't. we've a good piece of shore
293,12,"that ought to be worth something, and may yet."
294,12,but i don't count on it as much as len.
295,12,"he looks on the bright side of everything,"
296,12,including me. he thinks i'll be all right
297,12,with doctoring. but it's not medicine 
298,12,lowe is the only doctor's dared to say so 
299,12,"it's rest i want there, i have said it out "
300,12,from cooking meals for hungry hired men
301,12,and washing dishes after them from doing
302,12,things over and over that just won't stay done.
303,12,by good rights i ought not to have so much
304,12,"put on me, but there seems no other way."
305,12,len says one steady pull more ought to do it.
306,12,he says the best way out is always through.
307,12,"and i agree to that, or in so far"
308,12,as that i can see no way out but through 
309,12,leastways for me and then they'll be convinced.
310,12,it's not that len don't want the best for me.
311,12,it was his plan our moving over in
312,12,beside the lake from where that day i showed you
313,12,we used to live ten miles from anywhere.
314,12,"we didn't change without some sacrifice,"
315,12,but len went at it to make up the loss.
316,12,"his work's a man's, of course, from sun to sun,"
317,12,but he works when he works as hard as i do 
318,12,though there's small profit in comparisons.
319,12,women and men will make them all the same.
320,12,but work ain't all. len undertakes too much.
321,12,he's into everything in town. this year
322,12,"it's highways, and he's got too many men"
323,12,around him to look after that make waste.
324,12,"they take advantage of him shamefully,"
325,12,"and proud, too, of themselves for doing so."
326,12,"we have four here to board, great good-for-nothings,"
327,12,sprawling about the kitchen with their talk
328,12,while i fry their bacon. much they care!
329,12,no more put out in what they do or say
330,12,than if i wasn't in the room at all.
331,12,"coming and going all the time, they are,"
332,12,"i don't learn what their names are, let alone"
333,12,"their characters, or whether they are safe"
334,12,to have inside the house with doors unlocked.
335,12,"i'm not afraid of them, though, if they're not"
336,12,afraid of me. there's two can play at that.
337,12,"i have my fancies, it runs in the family."
338,12,my father's brother wasn't right. they kept him
339,12,locked up for years back there at the old farm.
340,12,"i've been away once yes, i've been away."
341,12,the state asylum. i was prejudiced;
342,12,i wouldn't have sent anyone of mine there;
343,12,you know the old idea the only asylum
344,12,"was the poorhouse, and those who could afford,"
345,12,"rather than send their folks to such a place,"
346,12,kept them at home; and it does seem more human.
347,12,"but it's not so, the place is the asylum."
348,12,"there they have every means proper to do with,"
349,12,and you aren't darkening other people's lives 
350,12,"worse than no good to them, and they no good"
351,12,to you in your condition; you can't know
352,12,affection or the want of it in that state.
353,12,i've heard too much of the old-fashioned way.
354,12,"my father's brother, he went mad quite young."
355,12,"some thought he had been bitten by a dog,"
356,12,because his violence took on the form
357,12,of carrying his pillow in his teeth;
358,12,"but it's more likely he was crossed in love,"
359,12,or so the story goes. it was some girl.
360,12,anyway all he talked about was love.
361,12,they soon saw he would do someone a mischief
362,12,"if he wa'n't kept strict watch of, and it ended"
363,12,"in father's building him a sort of cage,"
364,12,"or room within a room, of hickory poles,"
365,12,"like stanchions in the barn, from floor to ceiling, "
366,12,a narrow passage all the way around.
367,12,anything they put in for furniture
368,12,"he'd tear to pieces, even a bed to lie on."
369,12,"so they made the place comfortable with straw,"
370,12,"like a beast's stall, to ease their consciences."
371,12,of course they had to feed him without dishes.
372,12,"they tried to keep him clothed, but he paraded"
373,12,with his clothes on his arm all of his clothes.
374,12,cruel it sounds. i 'spose they did the best
375,12,"they knew. and just when he was at the height,"
376,12,"father and mother married, and mother came,"
377,12,"a bride, to help take care of such a creature,"
378,12,and accommodate her young life to his.
379,12,that was what marrying father meant to her.
380,12,she had to lie and hear love things made dreadful
381,12,by his shouts in the night. he'd shout and shout
382,12,"until the strength was shouted out of him,"
383,12,and his voice died down slowly from exhaustion.
384,12,"he'd pull his bars apart like bow and bow-string,"
385,12,and let them go and make them twang until
386,12,his hands had worn them smooth as any ox-bow.
387,12,and then he'd crow as if he thought that child's play 
388,12,"the only fun he had. i've heard them say, though,"
389,12,they found a way to put a stop to it.
390,12,he was before my time i never saw him;
391,12,but the pen stayed exactly as it was
392,12,"there in the upper chamber in the ell,"
393,12,a sort of catch-all full of attic clutter.
394,12,i often think of the smooth hickory bars.
395,12,"it got so i would say you know, half fooling "
396,12,"""it's time i took my turn upstairs in jail"" "
397,12,just as you will till it becomes a habit.
398,12,no wonder i was glad to get away.
399,12,"mind you, i waited till len said the word."
400,12,i didn't want the blame if things went wrong.
401,12,"i was glad though, no end, when we moved out,"
402,12,"and i looked to be happy, and i was,"
403,12,"as i said, for a while but i don't know!"
404,12,somehow the change wore out like a prescription.
405,12,and there's more to it than just window-views
406,12,and living by a lake. i'm past such help 
407,12,"unless len took the notion, which he won't,"
408,12,and i won't ask him it's not sure enough.
409,12,"i 'spose i've got to go the road i'm going,"
410,12,"other folks have to, and why shouldn't i?"
411,12,"i almost think if i could do like you,"
412,12,drop everything and live out on the ground 
413,12,"but it might be, come night, i shouldn't like it,"
414,12,"or a long rain. i should soon get enough,"
415,12,and be glad of a good roof overhead.
416,12,"i've lain awake thinking of you, i'll warrant,"
417,12,"more than you have yourself, some of these nights."
418,12,the wonder was the tents weren't snatched away
419,12,from over you as you lay in your beds.
420,12,i haven't courage for a risk like that.
421,12,"bless you, of course, you're keeping me from work,"
422,12,"but the thing of it is, i need to be kept."
423,12,there's work enough to do there's always that;
424,12,but behind's behind. the worst that you can do
425,12,is set me back a little more behind.
426,12,"i sha'n't catch up in this world, anyway."
427,12,i'd rather you'd not go unless you must.
428,13,"he is that fallen lance that lies as hurled,"
429,13,"that lies unlifted now, come dew, come rust,"
430,13,but still lies pointed as it plowed the dust.
431,13,"if we who sight along it round the world,"
432,13,"see nothing worthy to have been its mark,"
433,13,"it is because like men we look too near,"
434,13,"forgetting that as fitted to the sphere,"
435,13,our missiles always make too short an arc.
436,13,"they fall, they rip the grass, they intersect"
437,13,"the curve of earth, and striking, break their own;"
438,13,they make us cringe for metal-point on stone.
439,13,"but this we know, the obstacle that checked"
440,13,"and tripped the body, shot the spirit on"
441,13,further than target ever showed or shone.
442,14,when a friend calls to me from the road
443,14,"and slows his horse to a meaning walk,"
444,14,i don't stand still and look around
445,14,"on all the hills i haven't hoed,"
446,14,"and shout from where i am, what is it?"
447,14,"no, not as there is a time to talk."
448,14,"i thrust my hoe in the mellow ground,"
449,14,"blade-end up and five feet tall,"
450,14,"and plod, i go up to the stone wall"
451,14,for a friendly visit.
452,15,i have been one acquainted with the night.
453,15,i have walked out in rain   and back in rain.
454,15,i have outwalked the furthest city light.
455,15,i have looked down the saddest city lane.
456,15,i have passed by the watchman on his beat
457,15,"and dropped my eyes, unwilling to explain."
458,15,i have stood still and stopped the sound of feet
459,15,when far away an interrupted cry
460,15,"came over houses from another street,"
461,15,but not to call me back or say good-bye;
462,15,"and further still at an unearthly height,"
463,15,a luminary clock against the sky
464,15,proclaimed the time was neither wrong nor right.
465,15,i have been one acquainted with the night.
466,16,my long two-pointed ladder's sticking through a tree
467,16,"toward heaven still,"
468,16,and there's a barrel that i didn't fill
469,16,"beside it, and there may be two or three"
470,16,apples i didn't pick upon some bough.
471,16,but i am done with apple-picking now.
472,16,"essence of winter sleep is on the night,"
473,16,"the scent of apples, i am drowsing off."
474,16,i cannot rub the strangeness from my sight
475,16,i got from looking through a pane of glass
476,16,i skimmed this morning from the drinking trough
477,16,and held against the world of hoary grass.
478,16,"it melted, and i let it fall and break."
479,16,but i was well
480,16,"upon my way to sleep before it fell,"
481,16,and i could tell
482,16,what form my dreaming was about to take.
483,16,"magnified apples appear and disappear,"
484,16,"stem end and blossom end,"
485,16,and every fleck of russet showing clear.
486,16,"my instep arch not only keeps the ache,"
487,16,it keeps the pressure of a ladder-round.
488,16,i feel the ladder sway as the boughs bend.
489,16,and i keep hearing from the cellar bin
490,16,the rumbling sound
491,16,of load on load of apples coming in.
492,16,for i have had too much
493,16,"of apple-picking, i am overtired"
494,16,of the great harvest i myself desired.
495,16,"there were ten thousand thousand fruit to touch,"
496,16,"cherish in hand, lift down, and not let fall."
497,16,for all
498,16,"that struck the earth,"
499,16,"no matter if not bruised or spiked with stubble,"
500,16,went surely to the cider-apple heap
501,16,as of no worth.
502,16,one can see what will trouble
503,16,"this sleep of mine, whatever sleep it is."
504,16,"were he not gone,"
505,16,the woodchuck could say whether it's like his
506,16,"long sleep, as i describe its coming on,"
507,16,or just some human sleep.
508,17,all out of doors looked darkly in at him
509,17,"through the thin frost, almost in separate stars,"
510,17,that gathers on the pane in empty rooms.
511,17,what kept his eyes from giving back the gaze
512,17,was the lamp tilted near them in his hand.
513,17,what kept him from remembering what it was
514,17,that brought him to that creaking room was age.
515,17,he stood with barrels round him   at a loss.
516,17,and having scared the cellar under him
517,17,"in clomping there, he scared it once again"
518,17,"in clomping off;   and scared the outer night,"
519,17,"which has its sounds, familiar, like the roar"
520,17,"of trees and crack of branches, common things,"
521,17,but nothing so like beating on a box.
522,17,a light he was to no one but himself
523,17,"where now he sat, concerned with he knew what,"
524,17,"a quiet light, and then not even that."
525,17,"he consigned to the moon, such as she was,"
526,17,"so late-arising, to the broken moon"
527,17,as better than the sun in any case
528,17,"for such a charge, his snow upon the roof,"
529,17,his icicles along the wall to keep;
530,17,and slept. the log that shifted with a jolt
531,17,"once in the stove, disturbed him and he shifted,"
532,17,"and eased his heavy breathing, but still slept."
533,17,"one aged man   one man   can't keep a house,"
534,17,"a farm, a countryside, or if he can,"
535,17,it's thus he does it of a winter night.
536,18,"a house that lacks, seemingly, mistress and master,"
537,18,"with doors that none but the wind ever closes,"
538,18,its floor all littered with glass and with plaster;
539,18,it stands in a garden of old-fashioned roses.
540,18,i pass by that way in the gloaming with mary;
541,18,"'i wonder,' i say, 'who the owner of those is.'"
542,18,"'oh, no one you know,' she answers me airy,"
543,18,'but one we must ask if we want any roses.'
544,18,so we must join hands in the dew coming coldly
545,18,"there in the hush of the wood that reposes,"
546,18,"and turn and go up to the open door boldly,"
547,18,and knock to the echoes as beggars for roses.
548,18,"'pray, are you within there, mistress who-were-you?'"
549,18,'tis mary that speaks and our errand discloses.
550,18,"'pray, are you within there? bestir you, bestir you!"
551,18,'tis summer again; there's two come for roses.
552,18,"'a word with you, that of the singer recalling "
553,18,"old herrick, a saying that every maid knows is"
554,18,"a flower unplucked is but left to the falling,"
555,18,and nothing is gained by not gathering roses.'
556,18,we do not loosen our hands' intertwining
557,18,"not caring so very much what she supposes,"
558,18,there when she comes on us mistily shining
559,18,and grants us by silence the boon of her roses.
560,19,where had i heard this wind before
561,19,change like this to a deeper roar?
562,19,"what would it take my standing there for,"
563,19,"holding open a restive door,"
564,19,looking down hill to a frothy shore?
565,19,summer was past and the day was past.
566,19,sombre clouds in the west were massed.
567,19,"out on the porch's sagging floor,"
568,19,"leaves got up in a coil and hissed,"
569,19,blindly striking at my knee and missed.
570,19,something sinister in the tone
571,19,"told me my secret my be known,"
572,19,word i was in the house alone
573,19,"somehow must have gotten abroad,"
574,19,"word i was in my life alone,"
575,19,word i had no one left but god.
576,20,when i see birches bend to left and right
577,20,"across the lines of straighter darker trees,"
578,20,i like to think some boy's been swinging them.
579,20,but swinging doesn't bend them down to stay.
580,20,ice-storms do that. often you must have seen them
581,20,loaded with ice a sunny winter morning
582,20,after a rain. they click upon themselves
583,20,"as the breeze rises, and turn many-colored"
584,20,as the stir cracks and crazes their enamel.
585,20,soon the sun's warmth makes them shed crystal shells
586,20,shattering and avalanching on the snow-crust 
587,20,such heaps of broken glass to sweep away
588,20,you'd think the inner dome of heaven had fallen.
589,20,"they are dragged to the withered bracken by the load,"
590,20,and they seem not to break; though once they are bowed
591,20,"so low for long, they never right themselves,"
592,20,you may see their trunks arching in the woods
593,20,"years afterwards, trailing their leaves on the ground"
594,20,like girls on hands and knees that throw their hair
595,20,before them over their heads to dry in the sun.
596,20,but i was going to say when truth broke in
597,20,with all her matter-of-fact about the ice-storm
598,20,now am i free to be poetical?
599,20,i should prefer to have some boy bend them
600,20,as he went out and in to fetch the cows 
601,20,"some boy too far from town to learn baseball,"
602,20,"whose only play was what he found himself,"
603,20,"summer or winter, and could play alone."
604,20,one by one he subdued his father's trees
605,20,by riding them down over and over again
606,20,"until he took the stiffness out of them,"
607,20,"and not one but hung limp, not one was left"
608,20,for him to conquer. he learned all there was
609,20,to learn about not launching out too soon
610,20,and so not carrying the tree away
611,20,clear to the ground. he always kept his poise
612,20,"to the top branches, climbing carefully"
613,20,with the same pains you use to fill a cup
614,20,"up to the brim, and even above the brim."
615,20,"then he flung outward, feet first, with a swish,"
616,20,kicking his way down through the air to the ground.
617,20,so was i once myself a swinger of birches.
618,20,and so i dream of going back to be.
619,20,"it's when i'm weary of considerations,"
620,20,and life is too much like a pathless wood
621,20,where your face burns and tickles with the cobwebs
622,20,"broken across it, and one eye is weeping"
623,20,from a twig's having lashed across it open.
624,20,i'd like to get away from earth awhile
625,20,and then come back to it and begin over.
626,20,may no fate willfully misunderstand me
627,20,and half grant what i wish and snatch me away
628,20,"not to return. earth's the right place for love,"
629,20,i don't know where it's likely to go better.
630,20,"i'd like to go by climbing a birch tree,"
631,20,and climb black branches up a snow-white trunk
632,20,"toward heaven, till the tree could bear no more,"
633,20,but dipped its top and set me down again.
634,20,that would be good both going and coming back.
635,20,one could do worse than be a swinger of birches.
636,21,love has earth to which she clings
637,21,with hills and circling arms about 
638,21,wall within wall to shut fear out.
639,21,"but thought has need of no such things,"
640,21,for thought has a pair of dauntless wings.
641,21,"on snow and sand and turn, i see"
642,21,where love has left a printed trace
643,21,with straining in the world's embrace.
644,21,and such is love and glad to be
645,21,but thought has shaken his ankles free.
646,21,thought cleaves the interstellar gloom
647,21,"and sits in sirius' disc all night,"
648,21,till day makes him retrace his flight
649,21,"with smell of burning on every plume,"
650,21,back past the sun to an earthly room.
651,21,his gains in heaven are what they are.
652,21,yet some say love by being thrall
653,21,and simply staying possesses all
654,21,in several beauty that thought fares far
655,21,to find fused in another star.
656,22,"but outer space,"
657,22,"at least this far,"
658,22,for all the fuss
659,22,of the populace
660,22,stays more popular
661,22,than populous
662,23,"as i came to the edge of the woods,"
663,23,thrush music   hark!
664,23,"now if it was dusk outside,"
665,23,inside it was dark.
666,23,too dark in the woods for a bird
667,23,by sleight of wing
668,23,"to better its perch for the night,"
669,23,though it still could sing.
670,23,the last of the light of the sun
671,23,that had died in the west
672,23,still lived for one song more
673,23,in a thrush's breast.
674,23,far in the pillared dark
675,23,thrush music went  
676,23,almost like a call to come in
677,23,to the dark and lament.
678,23,"but no, i was out for stars;"
679,23,i would not come in.
680,23,i meant not even if asked;
681,23,and i hadn't been.
682,24,an ant on the tablecloth
683,24,ran into a dormant moth
684,24,of many times his size.
685,24,he showed not the least surprise.
686,24,his business wasn't with such.
687,24,"he gave it scarcely a touch,"
688,24,and was off on his duty run.
689,24,yet if he encountered one
690,24,of the hive's enquiry squad
691,24,whose work is to find out god
692,24,"and the nature of time and space,"
693,24,he would put him onto the case.
694,24,ants are a curious race;
695,24,one crossing with hurried tread
696,24,the body of one of their dead
697,24,isn't given a moment's arrest-
698,24,seems not even impressed.
699,24,but he no doubt reports to any
700,24,"with whom he crosses antennae,"
701,24,and they no doubt report
702,24,to the higher-up at court.
703,24,"then word goes forth in formic,"
704,24,"""death's come to jerry mccormic,"
705,24,our selfless forager jerry.
706,24,will the special janizary
707,24,whose office it is to bury
708,24,the dead of the commissary
709,24,go bring him home to his people.
710,24,lay him in state on a sepal.
711,24,wrap him for shroud in a petal.
712,24,embalm him with ichor of nettle.
713,24,"this is the word of your queen."""
714,24,and presently on the scene
715,24,appears a solemn mortician;
716,24,"and taking formal position,"
717,24,"with feelers calmly atwiddle,"
718,24,"seizes the dead by the middle,"
719,24,"and heaving him high in air,"
720,24,carries him out of there.
721,24,no one stands round to stare.
722,24,it is nobody else's affair
723,24,it couldn't be called ungentle
724,24,but how thoroughly departmental
725,25,"snow falling and night falling fast, oh, fast"
726,25,"in a field i looked into going past,"
727,25,"and the ground almost covered smooth in snow,"
728,25,but a few weeds and stubble showing last.
729,25,the woods around it have it - it is theirs.
730,25,all animals are smothered in their lairs.
731,25,i am too absent-spirited to count;
732,25,the loneliness includes me unawares.
733,25,"and lonely as it is, that loneliness"
734,25,will be more lonely ere it will be less -
735,25,a blanker whiteness of benighted snow
736,25,"with no expression, nothing to express."
737,25,they cannot scare me with their empty spaces
738,25,between stars - on stars where no human race is.
739,25,i have it in me so much nearer home
740,25,to scare myself with my own desert places.
741,26,"i found a dimpled spider, fat and white,"
742,26,"on a white heal-all, holding up a moth"
743,26,like a white piece of rigid satin cloth  
744,26,assorted characters of death and blight
745,26,"mixed ready to begin the morning right,"
746,26,like the ingredients of a witches' broth  
747,26,"a snow-drop spider, a flower like a froth,"
748,26,and dead wings carried like a paper kite.
749,26,"what had that flower to do with being white,"
750,26,the wayside blue and innocent heal-all?
751,26,"what brought the kindred spider to that height,"
752,26,then steered the white moth thither in the night?
753,26,what but design of darkness to appall? 
754,26,if design govern in a thing so small.
755,27,the heart can think of no devotion
756,27,greater than being shore to ocean -
757,27,"holding the curve of one position,"
758,27,counting an endless repetition.
759,28,the way a crow
760,28,shook down on me
761,28,the dust of snow
762,28,from a hemlock tree
763,28,has given my heart
764,28,a change of mood
765,28,and saved some part
766,28,of a day i had rued.
767,29,from where i lingered in a lull in march
768,29,"outside the sugar-house one night for choice,"
769,29,i called the fireman with a careful voice
770,29,"and bade him leave the pan and stoke the arch,"
771,29,"'o fireman, give the fire another stoke,"
772,29,and send more sparks up chimney with the smoke.'
773,29,"i thought a few might tangle, as they did,"
774,29,"among bare maple boughs, and in the rare"
775,29,"hill atmosphere not cease to glow,"
776,29,and so be added to the moon up there.
777,29,"the moon, though slight, was moon enough to show"
778,29,"on every tree a bucket with a lid,"
779,29,and on black ground a bear-skin rug of snow.
780,29,the sparks made no attempt to be the moon.
781,29,they were content to figure in the trees
782,29,"as leo, orion, and the pleiades."
783,29,and that was what the boughs were full of soon.
784,30,"some say the world will end in fire,"
785,30,  some say in ice.
786,30,  from what i've tasted of desire
787,30,  i hold with those who favor fire.
